name,price,oldPrice
"Чистящее средство Grass Azelit Антижир для стеклокерамики 600мл",189.0,269
"Маникюрные ножницы Ameli сталь",249.0,249
"Сухой шампунь для волос Сьёсс Pure Fresh 200мл",469.0,639
"Таблетки для посудомоечных машин Shiny Lux 6 в 1 45шт",369.0,369
"Тушь для ресниц Luxvisage ' XXL длина-объём-изгиб ' 9г",324.0,499
"Гель для бритья Gillette Series ' Sensitive ' для чувствительной кожи 200мл",399.0,729
"Тушь для ресниц Luxvisage Smoky Eyes ' Эффект умножения и удлинения ' 7г",278.0,429
"Лак для волос Сьёсс Max Hold Мегафиксация (5) 400мл",486.0,649
"Ухаживающий бальзам для губ Essence The super peptide 03 10мл",355.0,355
"Настольное зеркало Ameli квадратное пластик 17*13,8см",399.0,399
"Окисляющая эмульсия для волос Ollin Professional OXY 9% 30vol. 90мл",179.0,179
"Бальзам после бритья NIVEA For Men для чувствительной кожи 100мл",669.0,669
"Гель для бровей Catrice Lash Brow Designer Shaping And Conditioning Mascara Gel 010 6мл",315.0,315
"Консилер Art-Visage Miracle Touch светоотражающий для лица 102 Pink Beige 6мл",279.0,399
"Жидкость для снятия лака ФИТОкосметик ' Быстрый эффект ' с экстрактом календулы и ромашки 30мл",49.0,49
"Карандаш для губ Vivienne Sabo Jolies Levres 103 Розово-бежевый 0,9г",329.0,329
"Универсальный пятновыводитель Lavel ' Активный кислород ' 500г",219.0,299
"Станок Venus для бритья + сменная кассета 1шт",590.0,849
"Мужской одноразовый станок для бритья Bic для чувствительной кожи , 3 лезвия , 4шт",209.0,299
"Мицеллярная вода с гиалуроновой кислотой Aravia Laboratories Hyaluronic Micellar Water 520мл",499.0,829
"Чистящее средство для плит и микроволновых печей Grass Azelit Антижир для казана 600мл",189.0,269
"Тушь для ресниц L'Oreal Paris Volume Million Lashes Feline экстрачерная 9,2мл",817.0,1090
"Мусс для бритья Carelax Silk Touch perfume с ароматом ванили 200мл",299.0,299
"Мицеллярный себобалансирующий шампунь для волос Bisou Bio-professional ' till 72 HR Fresh ' 300мл",419.0,599
"Гель для бровей Art-Visage Fix&Care суперфиксация 4мл",229.0,229
"Бальзам - восстановление Estel Secrets для поврежденных волос ' регенерация ' 200мл",599.0,599
"Ежедневные прокладки Ola! silk sense Daily deo ромашка Large 20шт",139.0,199
"Освежающие влажные салфетки для рук и тела Я Самая 120шт",249.0,249
"Восковые полоски для депиляции Floresan DEEP depil для чувствительной кожи лица 20шт",215.0,215
"Клей - сыворотка для секущихся кончиков волос Bisou Bio-professional ' Keratin hair glue anti-split ends ' 100мл",439.0,569
"Автоматический карандаш для бровей Vivienne Sabo Brow Arcade 01 Светло-коричневый",535.0,535
"Зеркало косметическое Ameli прямоугольное на подставке 21*14см",249.0,499
"Пенка для умывания с коллоидной серой и экстрактом женьшеня Aravia Laboratories Anti-Acne Cleansing Foam 150мл",549.0,929
"Пудра для лица Estrade Invisible 100 Прозрачный 7г",335.0,479
"Консилер для лица Catrice Liquid camouflage 010 5мл",419.0,419
"Средство Unicum Tornado гранулированное , для устранения засоров 600г",299.0,459
"Ножницы для маникюра Zinger B116 S GL BFY",399.0,399
"Одноразовый станок для бритья Dorco Pace 4",169.0,169
